kood;hankeosa;nimetus;formaat;kuupaev;lopp_kuupaev;maakond;asukoht;sihtruhm;osalejate_arv;keel;hinnanguline_maksumus;markused;periood_algus;periood_lopp;ruhma_suurus;ruhmi
KK-2026-101;OSA-1;Töötuba 1 Tallinna linnavalitsuse teenistujatele;Töötuba 1;15.09.2026;;Harju maakond;Koolitaja ruumid kesklinnas;KOV ametnikud;28;et;1650;Osalejad on AI-tööriistadega varem kokku puutunud;;;;
KK-2026-102;OSA-1;Töötuba 1 Tartu linnavalitsuse teenistujatele;Töötuba 1;22.09.2026;;Tartu maakond;Koolitaja ruumid;KOV ametnikud;26;et;1550;;;;;
KK-2026-103;OSA-1;Töötuba 2 Harju maakonna KOV juhtidele;Töötuba 2;06.10.2026;;Harju maakond;Koolitaja ruumid;KOV ametnikud;22;et;1300;Eeldab Töötuba 1 läbimist;;;;
KK-2026-104;OSA-1;Töötuba 1 Pärnu haridusasutuste juhtidele;Töötuba 1;13.10.2026;;Pärnu maakond;Koolitaja ruumid;Haridus;30;et;1750;;;;;
KK-2026-105;OSA-1;Töötuba 1 Ida-Viru tervishoiutöötajatele;Töötuba 1;20.10.2026;;Ida-Viru maakond;Koolitaja ruumid Jõhvis;Tervishoid;24;ru;1400;Läbiviimine vene keeles;;;;
KK-2026-106;OSA-1;Töötuba 2 Viljandi maakonna ametnikele;Töötuba 2;27.10.2026;;Viljandi maakond;Koolitaja ruumid;KOV ametnikud;20;et;1200;;;;;
KK-2026-107;OSA-1;Töötuba 1 Rakvere sotsiaaltöötajatele;Töötuba 1;03.11.2026;;Lääne-Viru maakond;Koolitaja ruumid;Sotsiaalvaldkond;25;et;1450;;;;;
KK-2026-108;OSA-1;Töötuba 1 Kuressaare väikeettevõtjatele;Töötuba 1;10.11.2026;;Saare maakond;Koolitaja ruumid;Väikeettevõtjad;18;et;1050;Saartele lisandub logistikakulu;;;;
KK-2026-109;OSA-1;Töötuba 2 Jõgeva maakonna haridustöötajatele;Töötuba 2;17.11.2026;;Jõgeva maakond;Koolitaja ruumid;Haridus;23;et;1350;;;;;
KK-2026-110;OSA-1;Töötuba 1 Valga maakonna ametnikele;Töötuba 1;24.11.2026;;Valga maakond;Koolitaja ruumid;KOV ametnikud;19;et;1150;;;;;
KK-2026-111;OSA-1;Töötuba 1 Haapsalu tervishoiuasutuste töötajatele;Töötuba 1;01.12.2026;;Lääne maakond;Koolitaja ruumid;Tervishoid;21;et;1250;;;;;
KK-2026-112;OSA-1;Töötuba 2 Kärdla ja Hiiumaa ametnikele;Töötuba 2;08.12.2026;;Hiiu maakond;Koolitaja ruumid;KOV ametnikud;15;et;900;Väike grupp;;;;
